id_phrase,phrase,prompt
0,When I remember her I feel down,Emotional pain
1,When I carry heavy things I feel like breaking my back,Back pain
2,there is too much pain when i move my arm,Heart hurts
3,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
4,My muscles in my lower back are aching,Muscle pain
5,"i have muscle pain that my back
I Have Muscle Pain at my back leg",Foot ache
6,I have muscle pain in my left leg,Muscle pain
7,I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,Injury from sports
8,I have acne in my face and other problems in my derma like itching,Skin issue
9,I have a strange rash on my arm,Skin issue
10,I have a sharp pain in my lower stomach.,Stomach ache
11,i have a knee pain when i walk a lot,Knee pain
12,dr. I feel a strange and powerful pain inside my rib cage,Heart hurts
13,Don't cry,Emotional pain
14,I have for dia,Heart hurts
15,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath
16,i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
17,I read a book for along time and when I finished reading I feel head ache,Head ache
18,i cant sleep because of cold,Feeling cold
19,My infected wound cause fever,Infected wound
20,I lose a lot of my hair,Hair falling out
21,i feel dizzy after severe diarrhea,Feeling dizzy
22,I feel a pain in my back,Back pain
23,"Laceration, rupture or opening in the skin",Open wound
24,My back hurts me and i can't bend it or walk,Back pain
25,My head hurts whenever I try to do something.,Head ache
26,I have dark spots on my skin,Skin issue
27,I feel a sharp pain in my stomach,Internal pain
28,I can't do anything I feel a weak in my body,Body feels weak
29,I have cloudy eyes,Blurry vision
30,I have a back pain since I turned 70 years old.,Back pain
31,I tried to put my glasses to see more clear but cant find any change,Blurry vision
32,I feel deep Tingling when I touch Acne followed by bad sensation,Acne
33,My acne gets worse when it is hot,Acne
34,Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath
35,my abdominal muscles have great pain since i was at GYM,Muscle pain
36,My back got injured while i was lifting at the gym,Injury from sports
37,my ankle is hurting me,Joint pain
38,I think my wound is infected,Infected wound
39,i feel pain in my knee,Knee pain
40,My skin is very dry and peeling.,Skin issue
41,i can't move my shoulder because of pain,Shoulder pain
42,when i wake up in the morning i feel dizzy,Feeling dizzy
43,My hair is falling out in huge amount,Hair falling out
44,I have a sharp pain in my neck,Neck pain
45,There is pain in the muscles I do not know caused,Muscle pain
46,I have a problem in the expiration because i have abronchial asthma,Hard to breath
47,"Every time I make an effort, I felt dizzy.",Feeling dizzy
48,I have a powerful pain inside my neck,Neck pain
49,I have a pain internal,Internal pain
50,chronic disease of hair follicles and sebaceous glands.,Acne
51,I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
52,When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
53,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts
54,I have a feeling like my whole body is complaining,Joint pain
55,My knee hurts when I play squash,Knee pain
56,i can't see well,Blurry vision
57,I tried alot of cream but i still feel the same skin problem,Skin issue
58,It feels like someone stuck a knife into my shoulder,Shoulder pain
59,I feel a burning sensation in my shoulder muscle.,Muscle pain
60,I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound
61,My knee catches and hurts when I first stand up after sitting.,Knee pain
62,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
63,I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
64,i have a problem in seeing objects it is too difficult to see,Blurry vision
65,glass broken and wound my leg badly the wound is so wide,Open wound
66,"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
67,I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache
68,I feel pain in my knee when I climb the stairs.,Joint pain
69,"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
70,My knee hurts when I walk,Knee pain
71,i can't rotate my neck,Neck pain
72,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
73,i have a problem in my back i cannot extend it,Back pain
74,I can't walk because i have a great foot ache,Foot ache
75,My heart is beating fast and it scares me.,Heart hurts
76,I used to have acne when I was 15 years old,Acne
77,My muscles in my lower back are aching.,Muscle pain
78,My shoulder muscle hurts when I try to reach up.,Muscle pain
79,I feel heart pain when I walk a lot,Heart hurts
80,My hair is falling out in huge amount,Hair falling out
81,I feel a pain in my back,Back pain
82,My skin is itchy and inflamed,Skin issue
83,i can't see well,Blurry vision
84,I have a cold and it makes me cough alot,Cough
85,I have a dry throat,Cough
86,I'm not hearing well I have problem with my ear,Ear ache
87,My foot is hurting so much.,Foot ache
88,My shower drain is full of hair every time.,Hair falling out
89,I have front head pain and when I get it the light bothers me.,Head ache
90,Even though I'm an adult my face keeps breaking out in pimples.,Acne
91,When I get out of bed in the morning my body feels very weak.,Body feels weak
92,My knee catches and hurts when I first stand up after sitting.,Knee pain
93,"surgical wounds red, firing pus, painful and hot to the touch",Infected wound
94,Feel like something is being jabbed into my joints,Joint pain
95,The arches of my feet hurt when I wear heels,Foot ache
96,I feel pain in the lower back,Back pain
97,I have a dull ache in my head,Head ache
98,The arches of my feet hurt when I wear heels,Foot ache
99,I feel a pain in my neck,Neck pain
100,I have a sharp pain in my neck,Neck pain
101,i have pain but i can't specify place,Internal pain
102,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache
103,I have cloudy eyes,Blurry vision
104,I feel joint pain every time I move,Joint pain
105,i have a hard pain in my stomach,Stomach ache
106,"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
107,I need a kind of cream wich make my muscles more relaxed,Muscle pain
108,I have a back pain since I fell on the floor.,Back pain
109,I feel lightheaded,Feeling dizzy
110,My body aches on the inside between my hips and shoulders.,Internal pain
111,I have a foot ache after running 500m with my running shoes.,Foot ache
112,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold
113,"i feel hurt, lot of pain in my heart",Emotional pain
114,I read a book for along time and when I finished reading I feel head ache,Head ache
115,I break out on my face very frequently,Acne
116,I have tried to relief it but I can't,Body feels weak
117,I stopped sports because I get Injury from sports,Injury from sports
118,Every time I take a deep breath I start coughing,Cough
119,when i extend my leg there is pain in knee joint,Joint pain
120,my head hurts me badly,Head ache
121,when i was washing my hair it was falling out heavily,Hair falling out
122,I hate my acne.,Acne
123,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
124,i have pain like needles in my joints.,Joint pain
125,i have a great pain in my thorax from heart injury,Heart hurts
126,I don't know why I'm constantly sad.,Emotional pain
127,i feel pain in my neck,Neck pain
128,My muscles feel tired,Body feels weak
129,I tried to put my glasses to see more clear but cant find any change,Blurry vision
130,i feel pain in my stomach,Stomach ache
131,The arches of my feet hurt when I wear heels,Foot ache
132,"I have a foot ache in winter, or when it feels cold, why?",Foot ache
133,My back is hurting so much.,Back pain
134,The pain feels like it's right below the skin,Muscle pain
135,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
136,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
137,I have a pain internal,Internal pain
138,"my child has cough all night, she can't sleep",Cough
139,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
140,When I play sports  I have some burning sensation in my spine,Back pain
141,I have a hard muscle pain since i went to the gym,Muscle pain
142,my hair falling out,Hair falling out
143,I feel joint pain every time I move,Joint pain
144,I feel aching on my insides.,Internal pain
145,I have this strange rash on my arm.,Skin issue
146,My face break out badly every month around my cycle.,Acne
147,I have a lot of mucus when I cough.,Cough
148,i'm disappointed,Emotional pain
149,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache
150,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
151,I was playing soccer and I twisted my ankle,Injury from sports
152,My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound
153,I feel so sore in my stomach area.,Stomach ache
154,i have shoulder pain after doing any home work.,Shoulder pain
155,"laceration, rupture or opening in the skin",Open wound
156,I can't carry anything I have a pain in my shoulder,Shoulder pain
157,How do you know if you have a torn meniscus in your knee?,Knee pain
158,My head gets dizzy when I try to get up.,Feeling dizzy
159,I feel pain when parting loved ones,Emotional pain
160,I think my wound is infected,Infected wound
161,i feel dizzy after severe diarrhea,Feeling dizzy
162,there is a red stain in my skin,Skin issue
163,"i can't walk, my knee hurts me",Knee pain
164,I feel a pain in my back,Back pain
165,My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
166,I feel increased heart rate with prick,Heart hurts
167,My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound
168,I feel increased heart rate with prick,Heart hurts
169,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
170,i have a problem in my middle ear made by infection,Ear ache
171,My television and computer seem out of focus even though I have new glasses.,Blurry vision
172,I have a break in the skin between my thumb and index finger and it will not close.,Open wound
173,When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out
174,I feel pain in the knee when walking,Knee pain
175,I'm not feeling good I can't take my breath,Hard to breath
176,i can't move my shoulder because of pain,Shoulder pain
177,I feel pain inside and I can not identify it,Internal pain
178,I have an indigestion,Stomach ache
179,I m feeling cold though the temperature is high,Feeling cold
180,My body feels weak although I take my vitamins regularly.,Body feels weak
181,i feel pain in my body,Internal pain
182,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain
183,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
184,I get an ear ache when it is cold,Ear ache
185,My joints feel swollen,Joint pain
186,When I stand I feel dizzy I do not know why,Feeling dizzy
187,I feel lightheaded,Feeling dizzy
188,My lower back hurts but it improves if I stretch it,Muscle pain
189,I got acne when I ate chili,Acne
190,I could not exercise because of my knee pain,Knee pain
191,I'm not hearing well I have problem with my ear,Ear ache
192,A terrible fall in hair,Hair falling out
193,my ear hurts me badly,Ear ache
194,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
195,heart aches so much,Heart hurts
196,My throught is so sore.,Neck pain
197,The pain in my ear is unbearable.,Ear ache
198,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound
199,Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
200,My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
201,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
202,My kneecap feels like it is grating bone on bone when I walk.,Knee pain
203,I feel suicidal.,Emotional pain
204,I feel pain in my joint after an injury in the last football match I played.,Joint pain
205,I feel dizzy whenever I stand up.,Feeling dizzy
206,"Annoyance starts suddenly, often after an injury or exercise.",Knee pain
207,I feel pain in my eyes I can see fog,Blurry vision
208,Can't keep focus,Head ache
209,I feel fluid trying to come up when I cough.,Cough
210,"My skin color on my back is red, I don't know why.",Skin issue
211,"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
212,I'm suffering from sharp cough Accompanied by  phlegm,Cough
213,"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain
214,I feel a tightness in my chest,Hard to breath
215,My chest hurts when I smoke,Internal pain
216,I have a foot ache although I don't walk a lot.,Foot ache
217,i feel pain in my foot,Foot ache
218,I have a feeling like my whole body is complaining,Joint pain
219,I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports
220,My acne gets worse when it is hot,Acne
221,I usually have a bad cough when I get flu.,Cough
222,"i was playing basketball yesterday, i have sprained ankle",Injury from sports
223,My chest break out with red pimples and whiteheads.,Acne
224,itch at front and center of scalp,Hair falling out
225,I feel pain in the lower back,Back pain
226,I have a dull ache in my head,Head ache
227,I get an ear ache when it is cold,Ear ache
228,I get breakouts on my chest with red patches that get more intense when i get hot.,Acne
